method,accuracy,f1,demographic_parity_diff,equalized_odds_diff
baseline,0.8023173536175482,0.48347584931823434,0.1077558575048655,0.15037538870986386
preprocessing_correlation_remover,0.7820626216168406,0.390702274975272,0.016366472047421185,0.09553452363835252
inprocessing_exponentiated_gradient,0.7840969396780471,0.3971350950852062,0.003223536013467476,0.09747419643134037
postprocessing_threshold_optimizer,0.7780824341057846,0.3371202113606341,0.020158563469477725,0.041748073718843315
